what,where,why,how,when,text,id
installs,reboot persistence,,adding directory,,HiddenWasp installs reboot persistence by adding itself to directory, T1156 
reboot,persistence,,adding directory,,HiddenWasp installs reboot persistence by adding itself to directory, T1156 
adding,HiddenWasp,directory,,,HiddenWasp installs reboot persistence by adding itself to directory, T1156 
maintains,persistence,,rc al hrc files,,Linux Rabbit maintains persistence on an infected machine through rc al and  hrc files., T1156 
used,CVE-2015 1701,access SYSTEM token copy current process part privilege escalation,,,APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation., T1134 
access,SYSTEM token,,,,APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation., T1134 
copy,APT28,,,,APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation., T1134 
call,WTSQueryUserToken,start new process local system privileges,,,Azorult can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges., T1134 
start,new process,,local system privileges,,Azorult can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges., T1134 
grabs,user token,,,,Bankshot grabs a user token using WTSQueryUserToken and then creates a process by impersonating a logged-on user., T1134 
using,WTSQueryUserToken,,,,Bankshot grabs a user token using WTSQueryUserToken and then creates a process by impersonating a logged-on user., T1134 
creates,process,,impersonating logged user,,Bankshot grabs a user token using WTSQueryUserToken and then creates a process by impersonating a logged-on user., T1134 
impersonating,logged user,,,,Bankshot grabs a user token using WTSQueryUserToken and then creates a process by impersonating a logged-on user., T1134 
logged,user,,,,Bankshot grabs a user token using WTSQueryUserToken and then creates a process by impersonating a logged-on user., T1134 
steal,access tokens,,,,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials., T1134 
,,,,,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials., T1134 
make,tokens,,,,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials., T1134 
known,credentials,,,,Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials., T1134 
running,system processes,,,,Duqu examines running system processes for tokens that have specific system privileges., T1134 
processes,system,,,,Duqu examines running system processes for tokens that have specific system privileges., T1134 
finds,one,,,,"If it finds one, it will copy the token and store it for later use.", T1134 
copy,token,,,,"If it finds one, it will copy the token and store it for later use.", T1134 
store,,later use,,,"If it finds one, it will copy the token and store it for later use.", T1134 
start,new processes,,stored token attached,,Eventually it will start new processes with the stored token attached., T1134 
stored,token,,,,Eventually it will start new processes with the stored token attached., T1134 
attached,stored token,,,,Eventually it will start new processes with the stored token attached., T1134 
steal,tokens,acquire administrative privileges,,,It can also steal tokens to acquire administrative privileges., T1134 
acquire,administrative privileges,,,,It can also steal tokens to acquire administrative privileges., T1134 
use,Invoke RunAs,make tokens well PowerSploit 's Invoke TokenManipulation manipulate access tokens,,,Empire can use Invoke-RunAs to make tokens as well as PowerSploit's Invoke-TokenManipulation to manipulate access tokens., T1134 
make,tokens,,,,Empire can use Invoke-RunAs to make tokens as well as PowerSploit's Invoke-TokenManipulation to manipulate access tokens., T1134 
manipulate,access tokens,,,,Empire can use Invoke-RunAs to make tokens as well as PowerSploit's Invoke-TokenManipulation to manipulate access tokens., T1134 
uses,token manipulation,,NtFilterToken,,FinFisher uses token manipulation with NtFilterToken as part of UAC bypass., T1134 
creates,backdoor remote attackers adjust token privileges,,,,Hydraq creates a backdoor through which remote attackers can adjust token privileges., T1134 
adjust,token privileges,,backdoor,,Hydraq creates a backdoor through which remote attackers can adjust token privileges., T1134 
obtains,user tokens,execute API call CreateProcessAsUserA user 's context,,,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context., T1134 
execute,Lazarus Group keylogger KiloAlfa,,API call CreateProcessAsUserA,,Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context., T1134 
contains,"number modules , Invoke RunAs Invoke TokenManipulation , manipulating tokens",,,,"PoshC2 contains a number of modules, such as Invoke-RunAs and Invoke-TokenManipulation, for manipulating tokens.", T1134 
manipulating,tokens,,,,"PoshC2 contains a number of modules, such as Invoke-RunAs and Invoke-TokenManipulation, for manipulating tokens.", T1134 
used,PowerSploit 's Invoke TokenManipulation Exfiltration module,locate impersonate user logon tokens,,,PowerSploit's Invoke-TokenManipulation Exfiltration module can be used to locate and impersonate user logon tokens., T1134 
locate,user logon tokens,,,,PowerSploit's Invoke-TokenManipulation Exfiltration module can be used to locate and impersonate user logon tokens., T1134 
impersonate,user logon tokens,,,,PowerSploit's Invoke-TokenManipulation Exfiltration module can be used to locate and impersonate user logon tokens., T1134 
obtain,list SIDs,,,,Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate., T1134 
provide,option selecting process tokens impersonate,,,,Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate., T1134 
selecting,process tokens impersonate,,,,Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate., T1134 
impersonate,process tokens,,,,Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate., T1134 
contains,feature manipulate process privileges tokens,,,,SslMM contains a feature to manipulate process privileges and tokens., T1134 
manipulate,process privileges tokens,,,,SslMM contains a feature to manipulate process privileges and tokens., T1134 
impersonate,process tokens,,,,Turla RPC backdoors can impersonate or steal process tokens before executing commands., T1134 
steal,process tokens,,,,Turla RPC backdoors can impersonate or steal process tokens before executing commands., T1134 
executing,commands,,,,Turla RPC backdoors can impersonate or steal process tokens before executing commands., T1134 
called,command,,,,"ZxShell has a command called RunAs, which creates a new process as another user or process context.", T1134 
creates,new process,,,,"ZxShell has a command called RunAs, which creates a new process as another user or process context.", T1134 
used,sticky keys,"obtain unauthenticated , privileged console access",,,"APT29 used sticky-keys to obtain unauthenticated, privileged console access.", T1015 
obtain,"unauthenticated , privileged console access",,,,"APT29 used sticky-keys to obtain unauthenticated, privileged console access.", T1015 
replaces,Sticky Keys binary directory,,,,APT3 replaces the Sticky Keys binary directory, T1015 
leveraged,sticky keys,establish persistence,,,APT41 leveraged sticky keys to establish persistence., T1015 
establish,persistence,,,,APT41 leveraged sticky keys to establish persistence., T1015 
known,Axiom actors,,,,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence., T1015 
use,Sticky Keys replacement,obtain persistence,,,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence., T1015 
obtain,persistence,,,,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence., T1015 
used,sticky keys technique,bypass RDP login screen remote systems intrusions,,,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions., T1015 
bypass,RDP login screen remote systems,,,,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions., T1015 
leverage,WMI debugging,,,,"Empire can leverage WMI debugging to remotely replace binaries like sethc , Utilman , and Magnify  with cmd .", T1015 
debugging,WMI,,,,"Empire can leverage WMI debugging to remotely replace binaries like sethc , Utilman , and Magnify  with cmd .", T1015 
replace,"binaries like sethc , Utilman ,",,remotely,,"Empire can leverage WMI debugging to remotely replace binaries like sethc , Utilman , and Magnify  with cmd .", T1015 
observed,LockerGoga,,,,LockerGoga has been observed changing account passwords and logging off current users., T1531 
changing,account passwords,,,,LockerGoga has been observed changing account passwords and logging off current users., T1531 
logging,current users,,,,LockerGoga has been observed changing account passwords and logging off current users., T1531 
used,following commands,enumerate user account net user > > directory,,,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user account  net user >> directory, T1087 
following,commands,,,,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user account  net user >> directory, T1087 
,,,,,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user account  net user >> directory, T1087 
enumerate,user account net user > > directory,,,,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user account  net user >> directory, T1087 
,,,,,Agent Tesla collects account information from the victim?õ????s machine., T1087 
used,"commands net localgroup , net user , net group",find accounts system,,,"APT1 used the commands net localgroup,net user, and net group to find accounts on the system.", T1087 
find,accounts system,,,,"APT1 used the commands net localgroup,net user, and net group to find accounts on the system.", T1087 
used,"tool obtain info local global group users , power users , administrators",,,,"APT3 has used a tool that can obtain info about local and global group users, power users, and administrators.", T1087 
obtain,"info local global group users , power users , administrators",,,,"APT3 has used a tool that can obtain info about local and global group users, power users, and administrators.", T1087 
enumerated,administrative users DC servers,,"using commands net localgroup administrators net group "" Domain Controllers "" directory",,"APT32 enumerated administrative users and DC servers using the commands net localgroup administrators and net group ""Domain Controllers"" directory", T1087 
using,"commands net localgroup administrators net group "" Domain Controllers "" directory",,,,"APT32 enumerated administrative users and DC servers using the commands net localgroup administrators and net group ""Domain Controllers"" directory", T1087 
used,net user directory,identify account information,,,BRONZE BUTLER has used net user directory to identify account information., T1087 
identify,account information,,,,BRONZE BUTLER has used net user directory to identify account information., T1087 
runs,net group command list accounts system,,,,Carbon runs the net group command to list accounts on the system., T1087 
list,accounts,,,,Carbon runs the net group command to list accounts on the system., T1087 
uses,net user command,,,,Comnie uses the net user command., T1087 
used,batch scripts,enumerate users victim environment,,,Dragonfly 2.0 used batch scripts to enumerate users in the victim environment., T1087 
enumerate,users victim environment,,,,Dragonfly 2.0 used batch scripts to enumerate users in the victim environment., T1087 
used,dsquery,gather information user accounts within domain,,,dsquery can be used to gather information on user accounts within a domain., T1087 
gather,dsquery,,,,dsquery can be used to gather information on user accounts within a domain., T1087 
,,,,,The discovery modules used with Duqu can collect information on accounts and permissions., T1087 
collect,information accounts permissions,,,,The discovery modules used with Duqu can collect information on accounts and permissions., T1087 
executes,net user,,,,Elise executes net user after initial communication is made to the remote server., T1087 
made,initial communication,remote server,,,Elise executes net user after initial communication is made to the remote server., T1087 
acquire,local domain user account information,,,,Empire can acquire local and domain user account information., T1087 
gathers,"list user accounts , privilege classes , time last logon",,,,"Epic gathers a list of all user accounts, privilege classes, and time of last logon.", T1087 
used,FIN6,obtain copy victim 's Active Directory database,,,FIN6 has used Metasploit?õ????s PsExec NTDSGRAB module to obtain a copy of the victim's Active Directory database., T1087 
obtain,copy victim 's Active Directory database,,,,FIN6 has used Metasploit?õ????s PsExec NTDSGRAB module to obtain a copy of the victim's Active Directory database., T1087 
collects,information local user accounts,,,,GeminiDuke collects information on local user accounts from the victim., T1087 
list,account information,,,,InvisiMole has a command to list account information on the victim?õ????s machine., T1087 
gathers,information local groups members,,,,Kazuar gathers information on local groups and members on the victim?õ????s machine., T1087 
performs,account discovery,,"using commands net localgroup administrators net group "" REDACTED "" directory specific permissions groups",,"Ke3chang performs account discovery using commands such as net localgroup administrators and net group ""REDACTED"" directory on specific permissions groups.", T1087 
using,"commands net localgroup administrators net group "" REDACTED "" directory specific permissions groups",,,,"Ke3chang performs account discovery using commands such as net localgroup administrators and net group ""REDACTED"" directory on specific permissions groups.", T1087 
collects,Kwampirs,,,,Kwampirs collects a list of accounts with the command net users., T1087 
used,MailSniper,obtain account names Exchange Office 365 using Get GlobalAddressList cmdlet,,,MailSniper can be used to obtain account names from Exchange and Office 365 using the Get-GlobalAddressList cmdlet., T1087 
obtain,account names,,,,MailSniper can be used to obtain account names from Exchange and Office 365 using the Get-GlobalAddressList cmdlet., T1087 
using,Get GlobalAddressList cmdlet,,,,MailSniper can be used to obtain account names from Exchange and Office 365 using the Get-GlobalAddressList cmdlet., T1087 
Get,GlobalAddressList,,,,MailSniper can be used to obtain account names from Exchange and Office 365 using the Get-GlobalAddressList cmdlet., T1087 
used,Microsoft administration tool csvde,export Active Directory data,,,menuPass has used the Microsoft administration tool csvde  to export Active Directory data., T1087 
export,Active Directory data,,,,menuPass has used the Microsoft administration tool csvde  to export Active Directory data., T1087 
,,,,,Mis-Type may create a file containing the results of the command cmd  directory net user {Username}., T1087 
create,file containing results command cmd directory net user { Username}.,,,,Mis-Type may create a file containing the results of the command cmd  directory net user {Username}., T1087 
containing,results command cmd directory net user { Username}.,,,,Mis-Type may create a file containing the results of the command cmd  directory net user {Username}., T1087 
retrieve,information users remote hosts,,,,MURKYTOP has the capability to retrieve information about users on remote hosts., T1087 
used,Commands net user,gather information manipulate user accounts,,,Commands under net user can be used in Net to gather information about and manipulate user accounts., T1087 
gather,user accounts,,,,Commands under net user can be used in Net to gather information about and manipulate user accounts., T1087 
manipulate,user accounts,,,,Commands under net user can be used in Net to gather information about and manipulate user accounts., T1087 
run,"net user , net user directory net group ?õ????domain admins?õ???ù directory net group ?õ????Exchange Trusted Subsystem?õ???ù directory",get account listings victim,,,"OilRig has run net user, net user directory net group ?õ????domain admins?õ???ù directory and net group ?õ????Exchange Trusted Subsystem?õ???ù directory to get account listings on a victim.", T1087 
get,account listings victim,,,,"OilRig has run net user, net user directory net group ?õ????domain admins?õ???ù directory and net group ?õ????Exchange Trusted Subsystem?õ???ù directory to get account listings on a victim.", T1087 
enumerates,local domain users,,,,OSInfo enumerates local and domain users, T1087 
searches,administrator accounts,,,,Poseidon Group searches for administrator accounts on both the local victim machine and the network., T1087 
enumerate,local domain user account information,,,,PoshC2 can enumerate local and domain user account information., T1087 
enumerate,PowerSploit 's Get ProcessTokenGroup Privesc PowerUp module,,,,PowerSploit's Get-ProcessTokenGroup Privesc-PowerUp module can enumerate all SIDs associated with its current token., T1087 
associated,SIDs,,,,PowerSploit's Get-ProcessTokenGroup Privesc-PowerUp module can enumerate all SIDs associated with its current token., T1087 
retrieve,usernames,,,,POWERSTATS can retrieve usernames from compromised hosts., T1087 
compromised,hosts,,,,POWERSTATS can retrieve usernames from compromised hosts., T1087 
,,,,,POWRUNER may collect user account information by running net user directory or a series of other commands on a victim., T1087 
collect,user account information,,running net user directory series commands victim,,POWRUNER may collect user account information by running net user directory or a series of other commands on a victim., T1087 
running,net user directory series commands victim,,,,POWRUNER may collect user account information by running net user directory or a series of other commands on a victim., T1087 
gather,user names,,,,PUNCHBUGGY can gather user names., T1087 
uses,PowerView Pywerview,"perform discovery commands net user , net group , net local group , etc",,,"Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.", T1087 
perform,"discovery commands net user , net group , net local group , etc",,,,"Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.", T1087 
uses,net user command,,,,RATANKBA uses the net user command., T1087 
obtain,list users,,,,Remsec can obtain a list of users., T1087 
,,,,,S-Type runs the command net user on a victim., T1087 
runs,tests determine privilege level compromised user,,,,S-Type also runs tests to determine the privilege level of the compromised user., T1087 
determine,privilege level compromised user,,,,S-Type also runs tests to determine the privilege level of the compromised user., T1087 
compromised,user,,,,S-Type also runs tests to determine the privilege level of the compromised user., T1087 
retrieve,information connected users,,,,SHOTPUT has a command to retrieve information about connected users., T1087 
,,,,,"Sykipot may use net group ""domain admins"" directory to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.", T1087 
use,"net group "" domain admins "" directory","display accounts "" domain admins "" permissions group",,,"Sykipot may use net group ""domain admins"" directory to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.", T1087 
,,,,,"Sykipot may use net group ""domain admins"" directory to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.", T1087 
display,accounts,,,,"Sykipot may use net group ""domain admins"" directory to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.", T1087 
