id,what,where
 T1156 ,install,reboot persistence
 T1156 ,adding,HiddenWasp
 T1156 ,maintains,persistence
 T1134 ,used,CVE-2015 1701
 T1134 ,access,SYSTEM token
 T1134 ,copy,APT28
 T1134 ,call,WTSQueryUserToken
 T1134 ,start,new process
 T1134 ,grabs,token
 T1134 ,using,WTSQueryUserToken
 T1134 ,creates,process
 T1134 ,logged,user
 T1134 ,steal,access
 T1134 ,make,tokens
 T1134 ,known,credentials
 T1134 ,processes,system
 T1134 ,finds,one
 T1134 ,copy,token
 T1134 ,start,new processes
 T1134 ,attached,stored token
 T1134 ,steal,tokens
 T1134 ,acquire,administrative privileges
 T1134 ,use,Invoke RunAs
 T1134 ,manipulate,access tokens
 T1134 ,uses,token manipulation
 T1134 ,creates,remote attackers
 T1134 ,adjust,token privileges
 T1134 ,obtains,user tokens
 T1134 ,execute,Lazarus Group keylogger KiloAlfa
 T1134 ,contains,"number modules , Invoke RunAs Invoke TokenManipulation ,"
 T1134 ,manipulating,tokens
 T1134 ,used,PowerSploit 's Invoke TokenManipulation Exfiltration module
 T1134 ,impersonate,user logon tokens
 T1134 ,obtain,list SIDs
 T1134 ,provide,option
 T1134 ,impersonate,process tokens
 T1134 ,contains,feature
 T1134 ,manipulate,process privileges tokens
 T1134 ,steal,process tokens
 T1134 ,executing,commands
 T1134 ,called,command
 T1134 ,creates,new process
 T1015 ,used,sticky keys
 T1015 ,obtain,"unauthenticated , privileged console access"
 T1015 ,replaces,Sticky Keys binary directory
 T1015 ,leveraged,sticky keys
 T1015 ,establish,persistence
 T1015 ,known,Axiom actors
 T1015 ,use,Sticky Keys replacement
 T1015 ,obtain,persistence
 T1015 ,used,sticky keys technique
 T1015 ,bypass,RDP login screen remote systems
 T1015 ,debugging,WMI
 T1015 ,replace,"binaries like sethc , Utilman ,"
 T1531 ,observed,LockerGoga
 T1531 ,changing,account passwords
 T1531 ,logging,current users
 T1087 ,following,commands
 T1087 ,enumerate,user account net user > > directory
 T1087 ,used,"commands net localgroup , net user , net group"
 T1087 ,find,accounts system
 T1087 ,used,tool
 T1087 ,obtain,"info local global group users , power users , administrators"
 T1087 ,enumerated,administrative users DC servers
 T1087 ,using,"commands net localgroup administrators net group "" Domain Controllers "" directory"
 T1087 ,used,net user directory
 T1087 ,identify,account information
 T1087 ,runs,net group command system
 T1087 ,list,accounts
 T1087 ,uses,net user command
 T1087 ,used,batch scripts
 T1087 ,enumerate,users victim environment
 T1087 ,used,dsquery
 T1087 ,gather,information user accounts within domain
 T1087 ,collect,information accounts permissions
 T1087 ,executes,net user
 T1087 ,made,initial communication
 T1087 ,acquire,local domain user account information
 T1087 ,gathers,"list user accounts , privilege classes , time last logon"
 T1087 ,used,Metasploits PsExec NTDSGRAB module
 T1087 ,obtain,copy victim 's Active Directory database
