id,what,where
t1069,using,commands net group exchange trusted subsystem directory net group domain admins directory
t1111,contain,functionality
t1035,stop,windows services
t1117,executing,scripts
t1023,creating,shortcut
t1053,registered,jhuhugit
t1077,run,plug local network
t1036,masqueraded,rsyncd dbus inotifier
t1124,grabs,system time send back
t1064,used,powershell scripts
t1008,coded,domains
t1079,encodes,hi zor
t1024,using,xor
t1060,establish,persistence
t1110,obtain,credentials
t1223,compiled,html files
t1016,uses,ipconfig directory command
t1016,sends,sys10
t1215,detecting,linux
t1035,uses,psexec
t1119,collects,data victim
t1027,known,embedded dll
t1003,perform,credential dumping
t1107,delete,pteranodon
t1178,appended,sid user / group account
t1159,adds,st file
t1032,connect,c2 servers
t1005,match,predefined list
t1119,scans,system
t1093,uses,hollowing
t1090,provide,access
t1059,uses,pipe
t1086,run,reverse shell
t1113,take,screenshots system
t1104,avoid,detection
t1064,help,victim machine
t1134,finds,one
t1091,removable,media
t1016,collects,system mac address
t1077,hidden,network shares
t1105,including,new version
t1135,scan,local network
t1083,looks,specific files file types
t1046,scanning,arp
t1486,used,wide variety ransomware locky jaff bart philadelphia globeimposter
t1004,achieves,persistence
t1060,added,registry value ntdll
t1107,deleted,files
t1187,collect,credentials
t1113,captures,screenshots desktop
t1040,conduct,netbios name service poisoning
t1497,named,process
t1057,gathers,process times
t1107,delete,specified files
t1018,use,ping net
t1503,used,malware
t1133,regained,access
t1027,obfuscated,some strings homefry
t1057,used,powerstallion
t1048,infected,victims
t1027,obfuscated,binary
t1027,sled,nop
t1107,observed,hard disk well null bytes
t1189,using,youtube video downloader application
t1055,injecting,functions
t1027,appear,script
t1073,using,legitimate kaspersky antivirus variants dll
t1113,capture,screenshots victims machines
t1036,masquerade,flash player update
t1107,delete,attacker
t1064,remove,original data files
t1071,use,standard
t1083,search,folders
t1056,steal,usernames passwords
t1503,gather,credentials
t1055,created,process
t1083,allows,adversaries search files
t1002,collected,data
t1494,used,dyepack.fox
t1082,retrieving,information infected system
t1107,deleted,exfiltrated file archives
t1014,reveal,presence
t1134,known,credentials
t1196,executes,malicious cpl file
t1064,execute,various types scripts
t1027,hosting,malware cmd arguments powershell scripts
t1064,delete,proxysvc
t1489,beginning,encryption process
t1088,uses,combination ntwdblib cliconfg
t1060,maintained,persistence
t1083,searched,files
t1102,uses,microsofts technet web portal
t1036,obfuscated,javascript code
t1203,deliver,payload
t1060,establishes,foothold
t1105,download,second stage
t1012,used,reg query server victim
