id,what,where
t1001,add junk data,protocol traffic
t1001,use,steganography
t1001,commingle legitimate traffic,C2 traffic
t1001,use,non standard data encoding system
t1002,use,program
t1002,use,algorithm
t1002,use,compression library
t1002,use,utility
t1002,use,7zip
t1002,use,rar
t1002,use,zip
t1002,use,zlib
t1003,use,"Metasploit?s post exploitation module: ""post/windows/gather/credentials/gpp"""
t1003,use,Get GPPPassword
t1003,use,gpprefdecrypt.py
t1003,look,text string/regex pattern
t1003,look,MimiPenguin tool
t1003,look,""" /proc filesystem""/procdump/mimikatz/DCSync/lsadump/Windows Credential Editor/procdump  ma lsass.exe lsass_dump/sekurlsa::Minidump lsassdump.dmp/sekurlsa::logonPasswords"
t1003,use,text string/regex pattern
t1003,use,MimiPenguin tool
t1003,use,""" /proc filesystem""/procdump/mimikatz/DCSync/lsadump/Windows Credential Editor/procdump  ma lsass.exe lsass_dump/sekurlsa::Minidump lsassdump.dmp/sekurlsa::logonPasswords"
t1003,use,Reg utility/Reg.exe
t1003,use,"""reg save HKLM\sam sam"""
t1003,use,"""reg save HKLM\system system"""
t1003,use,Volume Shadow Copy
t1003,use,secretsdump.py
t1003,use,ntdsutil.exe
t1003,use,Invoke NinjaCopy
t1003,use,pwdumpx.exe
t1003,use,gsecdump
t1003,use,Mimikatz
t1003,use,secretsdump.py
t1003,use,Creddump7
t1003,use,gsecdump
t1004,modify,winlogon registry key
t1005,use,command line interface technique
t1005,use,cmd technique
t1005,use,Automated Collection technique
t1006,analyze,file system data structure
t1006,use,ninjacopy
t1007,use,sc utility
t1007,use,"""sc"""
t1007,use,tasklist utility
t1007,use,net utility
t1007,use,net start
t1007,use,"""tasklist"
t1007,use,"svc"""
t1008,use,multiple c2 server
t1008,use,multiple port
t1009,use,binary padding technique
t1010,use,applescript script
t1011,use,wifi connection
t1011,use,modem
t1011,use,cellular data connection
t1011,use,bluetooth
t1011,use,radio frequency channel
t1012,,
t1013,write,fully quantified dll pathname to registry key to hklm\system\currentcontrolset\control\print\monitors
t1013,use,API call
t1014,incercept,operating system API call
t1014,hook,operating system API call
t1014,modify,operating system API call
t1015,replace,accessblity program debugger registry key with cmd.exe path
t1015,press,key combination
t1015,press,windows+U
t1015,press,shift key 5
t1015,press,sticky key
t1016,use,Arp
