id,what,where
t1001,hide,command and control  c2  communications
t1002,compress,data
t1002,compress,documents
t1003,decrypt,Group Policy Preference XML file
t1003,dump,LSASS process memory
t1003,dump,process memory
t1003,dump,credential
t1003,dump,password
t1003,extract password,registry key
t1003,extract credential,registry key
t1003,extract,sam database
t1003,extract,sam
t1003,extract,sam file
t1003,extract,Cached Credential
t1003,extract,LSA secret
t1003,extract,Local Security Authority  Secret
t1003,extract,NTDS file
t1003,extract,Active Directory hash
t1003,extract,Group Policy Preference XML file
t1003,retrive,sam database
t1003,retrive,sam
t1003,retrive,sam file
t1003,retrive,Cached Credential
t1003,retrive,LSA secret
t1003,retrive,Local Security Authority  Secret
t1003,retrive,NTDS file
t1003,retrive,Active Directory hash
t1003,retrive,Group Policy Preference XML file
t1003,enumerate,sam database
t1003,enumerate,sam
t1003,enumerate,sam file
t1003,enumerate,Cached Credential
t1003,enumerate,LSA secret
t1003,enumerate,Local Security Authority  Secret
t1003,enumerate,NTDS file
t1003,enumerate,Active Directory hash
t1003,enumerate,Group Policy Preference XML file
t1003,gather,sam database
t1003,gather,sam
t1003,gather,sam file
t1003,gather,Cached Credential
t1003,gather,LSA secret
t1003,gather,Local Security Authority  Secret
t1003,gather,NTDS file
t1003,gather,Active Directory hash
t1003,gather,Group Policy Preference XML file
t1003,use,credential dumping
t1004,modify,winlogon registry key
t1004,modify,winlogon\notify registry key
t1004,modify,winlogon\userinit registry key
t1004,modify,winlogon\shell registry key
t1005,search,file system
t1006,read,file
t1006,write,file
t1007,obtain information,service
t1007,obtain information,service configuration
t1007,get information,service
t1007,get information,service configuration
t1007,enumerate,service
t1007,enumerate,service configuration
t1007,list,service
t1007,list,service configuration
t1007,query,service
t1007,query,service configuration
t1008,use,fallback communication channel
t1008,use,alternate communication channel
t1009,add junk data,file
t1010,get list,open application windows
t1011,exfiltrate,data
t1012,interact,windows registry
t1012,query,windows registry
t1013,use,port monitors
t1014,use,rootkit
t1015,modify,registry key
t1015,replace,accessibility program
t1015,replace,utilman.exe
t1015,replace,osk.exe
t1015,replace,Magnify.exe
t1015,replace,Narrator.exe
t1015,replace,DisplaySwitch.exe
t1015,replace,AtBroker.exe
t1015,replace,sethc.exe
t1016,search,network configuration
t1016,search,system setting
t1016,look,network configuration
t1016,look,system setting
t1017,deploy,software
t1017,deploy,code
t1017,execute,software
t1017,execute,code
t1018,get list,system
t1018,get list,IP address
t1018,get list,hostname
t1018,get list,logical identifier
t1019,modify,system firmware
t1019,modify,bios
t1019,modify,uefi
t1019,overwrite,system firmware
t1019,overwrite,bios
t1019,overwrite,uefi
t1020,exfiltrate,data
t1020,exfiltrate,document
t1021,login,service
t1021,login,remote system
t1022,encrypt,data
t1023,create,shortcut
t1023,edit,target path
t1023,edit,existing shortcut
t1023,replace,target path
t1023,replace,existing shortcut
t1023,use,shortcut
t1024,encrypt,C2 traffic
t1024,encode,C2 traffic
t1025,search,removable media
t1025,access,removable media
t1025,read,removable media
t1025,mount,removable media
t1025,collect data,removable media
t1026,split,communication
t1026,split,network traffic
t1026,split,C2 traffic
t1027,encrypt,portion of file
t1027,encrypt,executable
t1027,encrypt,payload
t1027,encrypt,message
t1027,encrypt,code
t1027,encrypt,command
t1027,encrypt,powershell command
t1027,obfuscate,portion of file
t1027,obfuscate,executable
t1027,obfuscate,payload
t1027,obfuscate,message
t1027,obfuscate,code
t1027,obfuscate,command
t1027,obfuscate,powershell command
t1027,encode,portion of file
t1027,encode,executable
t1027,encode,payload
t1027,encode,message
t1027,encode,code
t1027,encode,command
t1027,encode,powershell command
t1027,compress,portion of file
t1027,compress,executable
t1027,compress,payload
t1027,compress,message
t1027,compress,code
t1027,compress,command
t1027,compress,powershell command
t1027,archive,portion of file
t1027,archive,executable
t1027,archive,payload
t1027,archive,message
t1027,archive,code
t1027,archive,command
t1027,archive,powershell command
t1027,split,portion of file
t1027,split,executable
t1027,split,payload
t1027,split,message
t1027,split,code
t1027,split,command
t1027,split,powershell command
t1028,remote modify,registry
t1028,remote modify,service
t1028,remote run,executable
t1028,remote run,file
t1028,remote run,binary
t1028,remote run,program
t1028,remote execute,executable
t1028,remote execute,file
t1028,remote execute,binary
t1028,remote execute,program
t1029,exfiltrate,data
t1030,exfiltrate,data
t1031,modifiy,service
t1031,register,service
t1031,kill,service
t1031,terminate,service
t1031,corrupt,service
t1032,encrypt,C2 traffic
t1032,encrypt,c2 communication
t1032,encode,C2 traffic
t1032,encode,c2 communication
t1033,identify,primary user
t1033,identify,set of users
t1033,identify,user
t1034,use,unqoted path weaknesses
t1034,use,service path weakness
t1034,use,shortcut path weakness
t1034,use,PATH Environment Variable misconfiguration
t1034,use,search order hijecking
t1035,execute,binary
t1035,execute,command
t1035,execute,script
t1036,change,process name
t1036,change,file metadata
t1036,modify,process name
t1036,modify,file metadata
t1036,manipulate,name of an executable
t1036,manipulate,location of an executable
t1036,change,name of an executable
t1036,change,location of an executable
t1036,modify,name of an executable
t1036,modify,location of an executable
t1037,insert code,logon script
t1038,modify,dll loading procedure
t1038,use,dll preloading
t1038,use,binary planting attack
t1038,use,DLL Search Order Hijacking
t1039,search,network share
t1039,search,network share drive
t1039,access,network share
t1039,access,network share drive
t1039,read,network share
t1039,read,network share drive
t1039,mount,network share
t1039,mount,network share drive
t1039,collect data,network share
t1039,collect data,network share drive
t1040,place,network interface
t1040,sniff,network interface
t1041,encode,data
t1041,exfiltrate,data
t1042,modify,file association registry key value
t1043,communicate,c2 communication
t1043,communicate,C2 traffic
t1043,send,c2 communication
t1043,send,C2 traffic
t1044,replace,service executable
t1044,replace,installer binary
t1044,replace,Windows service binary
t1044,overwrite,service executable
t1044,overwrite,installer binary
t1044,overwrite,Windows service binary
t1044,manipulate,service executable
t1044,manipulate,installer binary
t1044,manipulate,Windows service binary
t1045,compress,executable
t1045,encrypt,executable
t1045,pack,executable
t1046,get list,remote host service
t1047,use,wmi service
t1047,use,server message block
t1047,use,SMB
t1047,use,Remote Procedure Call Service
t1047,use,RPCS
t1047,use,wmi
t1047,use,windows management instrumentation
t1048,send data,different network location
t1048,exfiltrate data,different network location
t1049,enumerate,network connection
t1049,display,network connection
t1050,hide,service name
t1050,disguise,service name
t1050,install,service
t1050,create,service
t1050,start,service
t1051,add content,browser
t1051,browse content,browser
t1052,exfiltrate,data
t1053,execute,program
t1053,run,program
t1053,schedule,program
t1054,block,traffic
t1054,redirect,event
t1054,redirect,host based sensor
t1054,redirect,ETW
t1054,disable,event
t1054,disable,host based sensor
t1054,disable,ETW
t1055,inject code,ELF binary
t1055,inject code,process
t1055,inject code,process thread
t1055,inject code,APC queue
t1055,inject dll path,process
t1055,inject dll path,process thread
t1055,inject dll path,APC queue
t1055,attach code,process
t1055,attach code,process thread
t1055,attach code,APC queue
t1055,load library,process
t1055,load code,process
t1055,load shared object,process
t1055,attach code,process
t1055,attach library,process
t1055,manipulate pointer,portable executable
t1055,manipulate pointer,PE
t1055,read code,process memory
t1055,write code,process memory
t1055,read data,process memory
t1055,write data,process memory
t1056,install code,portals
t1056,install code,vpn login
t1056,log,user input
t1056,log,keystroke
t1056,capture,user input
t1056,capture,keystroke
t1056,intercept,user input
t1056,intercept,keystroke
t1057,obtain information,process
t1057,get information,process
t1058,change,service binpath registry key
t1058,change,imagepath registry key
t1058,change,service failure parameter registry key
t1058,alter,service binpath registry key
t1058,alter,imagepath registry key
t1058,alter,service failure parameter registry key
t1059,use,command line interface
t1059,use,cmd
t1060,add entry,Run registry key
t1060,add entry,RunOnce Registry key
t1060,add entry,RunOnceEx Registry key
t1060,add entry,User Shell Folders Registry key
t1060,add entry,Shell Folders Registry key
t1060,add entry,RunServicesOnce Registry key
t1060,add entry,RunServices Registry key
t1060,add entry,Userinit Registry key
t1060,add value,Run registry key
t1060,add value,RunOnce Registry key
t1060,add value,RunOnceEx Registry key
t1060,add value,User Shell Folders Registry key
t1060,add value,Shell Folders Registry key
t1060,add value,RunServicesOnce Registry key
t1060,add value,RunServices Registry key
t1060,add value,Userinit Registry key
t1060,create,Run registry key
t1060,create,RunOnce Registry key
t1060,create,RunOnceEx Registry key
t1060,create,User Shell Folders Registry key
t1060,create,Shell Folders Registry key
t1060,create,RunServicesOnce Registry key
t1060,create,RunServices Registry key
t1060,create,Userinit Registry key
t1061,use,system gui
t1062,use,hypervisor
t1063,get list,security software
t1063,get list,configuration
t1063,get list,defensive tool
t1063,get list,sensor
t1064,embed script,office document
t1064,embed macro,office document
t1064,use,script
t1064,use,scripting language
t1064,use,vbscript
t1064,use,powershell
t1064,use,command line batch script
t1064,use,VBScript
t1064,use,poweshell script
t1064,use,command line batch script
t1064,use,metasploit
t1064,use,veil
t1064,use,powersploit
t1064,use,VBE
t1064,use,VBS
t1064,use,BAT
t1064,use,Javascript
t1065,conduct,c2 communication
t1065,conduct,C2 traffic
t1065,communicate,c2 communication
t1065,communicate,C2 traffic
t1065,send,c2 communication
t1065,send,C2 traffic
t1066,modify,tool
t1067,modify,boot sector
t1067,modify,mbr
t1067,modify,vbr
t1067,modify,master boot record
t1067,modify,volume boot record
t1067,overwrite,boot sector
t1067,overwrite,mbr
t1067,overwrite,vbr
t1067,overwrite,master boot record
t1067,overwrite,volume boot record
t1068,use,programming error
t1068,use,software vulnerability
t1068,abuse,programming error
t1068,abuse,software vulnerability
t1068,take advantage,programming error
t1068,take advantage,software vulnerability
t1069,find,local system
t1069,find,domain level group
t1069,find,permission setting
t1069,search,local system
t1069,search,domain level group
t1069,search,permission setting
t1070,delete,artifact
t1070,delete,log
t1070,delete,event log
t1070,delete,event
t1070,alter,artifact
t1070,alter,log
t1070,alter,event log
t1070,alter,event
t1070,clear,artifact
t1070,clear,log
t1070,clear,event log
t1070,clear,event
t1070,remove,artifact
t1070,remove,log
t1070,remove,event log
t1070,remove,event
t1071,blend command,traffic
t1071,blend command,c2 traffic
t1071,embed command,traffic
t1071,embed command,c2 traffic
t1071,communicate,traffic
t1071,communicate,c2 traffic
t1071,send,traffic
t1071,send,c2 traffic
t1072,use,third party software
t1072,use,third party application
t1073,use,dll side loading vulnerability
t1074,stage,data
t1074,stage,file
t1074,keep,data
t1074,keep,file
t1074,combine,data
t1074,combine,file
t1074,copy,data
t1074,copy,file
t1074,store,data
t1074,store,file
t1075,use,password hash
t1075,use,hash
t1076,connect,remote system
t1076,steal,rdp session
t1076,hijack,rdp session
t1077,transfer file,Windows admin share
t1077,transfer binary,Windows admin share
t1077,copy file,Windows admin share
t1077,copy binary,Windows admin share
t1078,steal,user credential
t1078,steal,service account credential
t1078,capture,user credential
t1078,capture,service account credential
t1078,use,credential
t1078,use,private key
t1078,utilize,credential
t1078,utilize,private key
t1079,perform,c2 communication
t1079,perform,c2 traffic
t1079,communicate,c2 communication
t1079,communicate,c2 traffic
t1079,send,c2 communication
t1079,send,c2 traffic
t1080,add program,shared location file
t1080,add program,network drive file
t1080,add script,shared location file
t1080,add script,network drive file
t1080,add code,shared location file
t1080,add code,network drive file
t1081,search,local file system
t1081,search,remote file share
t1081,search,password in file
t1081,search,credential in file
t1081,extract,local file system
t1081,extract,remote file share
t1081,extract,password in file
t1081,extract,credential in file
t1081,steal,local file system
t1081,steal,remote file share
t1081,steal,password in file
t1081,steal,credential in file
t1081,locate,local file system
t1081,locate,remote file share
t1081,locate,password in file
t1081,locate,credential in file
t1082,obtain information,operating system
t1082,obtain information,hardware
t1082,obtain information,operating system version
t1082,obtain information,operating system patches
t1082,obtain information,operating system hotfixes
t1082,obtain information,service packs
t1082,obtain information,hardware architecture
t1082,get information,operating system
t1082,get information,hardware
t1082,get information,operating system version
t1082,get information,operating system patches
t1082,get information,operating system hotfixes
t1082,get information,service packs
t1082,get information,hardware architecture
t1083,enumerate,file
t1083,enumerate,directory
t1083,search file,network share
t1083,search file,host location
t1084,compile wmi script,Windows Management Object  file
t1084,compile wmi script,.mof file
t1084,use,wmi script
t1085,execute,script
t1085,execute,javascript
t1085,execute,control panel item file
t1085,execute,.cpl
t1086,use,powershell
t1087,get list,local system account
t1087,get list,domain account
t1088,bypass,user account control
t1088,bypass,UAC
t1089,disable,security tool
t1089,disable,security software
t1089,disable,event logging process
t1089,disable,registry key
t1089,kill,security tool
t1089,kill,security software
t1089,kill,event logging process
t1089,kill,registry key
t1089,terminate,security tool
t1089,terminate,security software
t1089,terminate,event logging process
t1089,terminate,registry key
t1089,delete,security tool
t1089,delete,security software
t1089,delete,event logging process
t1089,delete,registry key
t1090,perform,c2 communication
t1090,perform,c2 traffic
t1090,communicate,c2 communication
t1090,communicate,c2 traffic
t1090,send,c2 communication
t1090,send,c2 traffic
t1091,copy malware to,removable media
t1091,copy malware to,USB
t1091,move code to,removable media
t1091,move code to,USB
t1092,perform,c2 communication
t1092,perform,c2 traffic
t1092,perform,C2 command
t1092,communicate,c2 communication
t1092,communicate,c2 traffic
t1092,communicate,C2 command
t1092,send,c2 communication
t1092,send,c2 traffic
t1092,send,C2 command
t1092,relay,c2 communication
t1092,relay,c2 traffic
t1092,relay,C2 command
t1093,create,process
t1093,unmapp,memory
t1093,replace,memory
t1093,mask,code execution
t1094,communicate,c2 communication
t1094,communicate,c2 traffic
t1094,send,c2 communication
t1094,send,c2 traffic
t1094,encapsulate,c2 communication
t1094,encapsulate,c2 traffic
t1095,perform,c2 communication
t1095,perform,c2 traffic
t1095,communicate,c2 communication
t1095,communicate,c2 traffic
t1095,send,c2 communication
t1095,send,c2 traffic
t1096,store data,file attribute metadata
t1096,store binary,file attribute metadata
t1097,use,kerberos authentication
t1097,use,kerberos ticket
t1097,use,service ticket
t1097,use,ticket granting ticket
t1097,use,tgt
t1097,use,silver ticket
t1097,use,golden ticket
t1098,modify,permission
t1098,modify,credential
