id,what,where
t1001,make difficult,disvover command
t1001,make communication,less conspicuous
t1001,hide,command
t1002,minimize,data length
t1003,harvest,password
t1003,harvest,hash
t1003,harvest,account credential
t1003,obtain,password
t1003,obtain,hash
t1003,obtain,account credential
t1003,harvest,password
t1003,harvest,hash
t1003,harvest,account credential
t1003,obtain,password
t1003,obtain,hash
t1003,obtain,account credential
t1003,harvest,password
t1003,harvest,hash
t1003,harvest,account credential
t1003,obtain,password
t1003,obtain,hash
t1003,obtain,account credential
t1003,harvest,password
t1003,harvest,hash
t1003,harvest,account credential
t1003,obtain,password
t1003,obtain,hash
t1003,obtain,account credential
t1004,load,dll
t1004,load,executable
t1004,execute,dll
t1004,execute,executable
t1005,find,files
t1005,gather,information
t1005,collect,information
t1006,bypass,access control
t1007,discover,running service
t1008,maintain,command and control
t1008,avoid,data transfer threshold
t1009,increase,size
t1009,change,file hash
t1009,avoid,hash based blacklist
t1009,avoid,static anti virus signature
t1010,give information context,keylogger
t1011,exfiltrate,data
t1012,gather,system information
t1012,gather,installed software infromation
t1012,gather,system configuration information
t1013,load,dll
t1013,load,code
t1014,hide,program
t1014,hide,files
t1014,hide,network connection
t1014,hide,service
t1014,hide,driver
t1015,execute,replaced file
t1015,get,command prompt
t1015,get,backdoor
t1015,use,command prompt
t1015,use,backdoor
t1015,execute,replaced file
t1015,get,command prompt
t1015,get,backdoor
t1015,use,command prompt
t1015,use,backdoor
t1016,gather,remote system information
t1016,discover,remote system information
t1017,move laterally,system
t1017,gather,information
t1017,wipe,hard drive
t1018,get listing,systems
t1018,get listing,hostname ip address mapping
t1018,discover,systems
t1018,discover,hostname ip address mapping
t1018,gain insight,systems
t1018,gain insight,hostname ip address mapping
t1018,gather,information remote system
t1018,acquire,information remote system
t1019,perform,malicious activity
t1019,assist,malicious activity
t1019,install,firmware update
t1019,maintain,persistence
t1021,move laterally,system
t1022,hide,information
t1022,transfer,information
t1023,look,legitimate program
t1023,execute,tool
t1023,execute,tool
t1024,hide,command and control traffic
t1025,find,files of interest
t1026,bypass,firewall restriction
t1026,bypass,data threshold alerts
t1026,avoid,firewall restriction
t1026,avoid,data threshold alerts
t1027,make diffficult,discovery
t1027,make diffficult,analysis
t1027,evade,defense
t1027,evade,signature based detection
t1027,evade,whitelisting mechanism
t1027,hide,command
t1028,move laterally,sytem
t1028,remote execute,code
t1028,interact,remote system
t1029,blend traffic pattern,normal activity
t1030,avoid,network data tranfer alert
t1031,execute,program
t1031,execute,command
t1031,make difficult,detection analysis
t1032,conceal,command and control traffic
t1033,retrieve,account username
t1033,querying,information
t1034,maintain,persistence
t1034,escalate,privilege
t1034,maintain,persistence
t1034,escalate,privilege
t1035,execute,binary
t1035,execute,payload
t1035,execute,DLL
t1036,evade,defenses
t1036,deceive,defender
t1036,deceive,system administrator
t1036,blend,environment
t1036,evade,defenses
t1036,deceive,defender
t1036,deceive,system administrator
t1036,blend,environment
t1037,execute,tool
t1037,execute,program
t1037,move laterally,system
t1038,load,malicious dll
t1038,maintain,persistence
t1038,escalate,privilege
t1038,load,malicious dll
t1038,maintain,persistence
t1038,escalate,privilege
t1039,find,file
t1039,collect,sensitive data
t1040,access,data
t1040,access,traffic packet
t1040,access,credential
t1040,capture,data
t1040,capture,traffic packet
t1040,capture,credential
t1041,exfiltrate,data
t1041,exfiltrate,data
t1042,execute,command
t1044,gain,persistence
t1044,escalate,privilege
t1044,execute,untrusted code
t1045,avoid,signature based detection
t1045,evade,defense
t1046,acquire,information
t1047,interact,system
t1047,gather,information
t1047,execute,file
t1047,interact,local system
t1047,interact,remote system
t1047,gather,information
t1047,execute,file
t1047,perform,lateral movement
t1049,get list,network connection
t1050,maintain,persistence
t1050,execute,service
t1050,escalate,privilege
t1051,execute,content
t1051,execute,code
t1051,execute,tool
t1051,execute,program
t1051,execute,RAT
t1051,upload,remote access tool
t1051,upload,RAT
t1052,exfiltrate,data
t1053,execute,program at system startup
t1053,conduct remote execution,lateral movement
t1053,gain,system privilege
t1053,run,process under the context of a specified account
t1054,prevent,central analysis
t1054,block,indicator
t1054,block,event
t1055,intercept,API call
t1055,allow access,process memory
t1055,allow access,system resource
t1055,allow access,network resource
t1055,evade,detection
t1055,allow access,process memory
t1055,allow access,system resource
t1055,allow access,network resource
t1055,evade,detection
t1055,intercept,API call
t1055,allow access,process memory
t1055,allow access,system resource
t1055,allow access,network resource
t1055,evade,detection
t1055,redirect process,malicious code
t1055,redirect process,network resource
t1055,redirect process,system resource
t1055,redirect process,process memory
t1055,redirect process,detection
t1055,"allow access , evade",malicious code
t1055,"allow access , evade",process memory/ system resource/network resource
t1055,"allow access , evade",detection
t1055,intercept,API call
t1055,allow access,process memory
t1055,allow access,system resource
t1055,allow access,network resource
t1055,evade,detection
t1056,capture,user credential
t1056,transmit,user credential
t1056,maintain,network access
t1056,acquire,credential
t1056,obtain,credential
t1056,capture,credential
t1056,transmit,credential
t1056,inspect,user input field
t1057,get,information
t1057,gain,understanding of common software running on systems
t1058,point,executable
t1058,gain,persistence
t1059,interact,system
t1059,execute,software
t1059,execute,command
t1059,execute,code
t1060,execute,malwarel
t1060,execute,remote access tool
t1060,maintain,persistence
t1061,search,information
t1061,search,file
t1061,execute,information
t1061,execute,file
t1062,hide,existence
t1062,persist,system
t1063,obtain,security software information
t1064,execute,file
t1064,aid,operation
t1064,perform,action
t1064,bypass,process monitoring mechanism
t1064,execute,file
t1064,execute,payload
t1064,download,file
t1064,download,payload
t1064,launch,file
t1064,launch,payload
t1065,bypass,proxy
t1065,bypass,firewall
t1066,remove,indicator
t1067,persist,system
t1067,divert,execution
t1068,execute,adversary controlled code
t1068,escalate,privilege
t1069,enumerate,permission
t1069,enumerate,permission group
t1070,make difficult,forensic analysis and incident response
t1070,cause unreported,event
t1071,avoid,detection
t1072,remote execute,code
t1072,move laterally,remote system
t1072,wipe,hard drive
t1073,mask,action
t1073,load,dll
t1074,Exfiltrate,data
t1074,Exfiltrate,file
t1075,authenticate,user
t1075,bypass,authentication step
t1076,move laterally,system
t1076,move laterally,system
t1077,move laterally,system
t1078,gain,access
t1078,gain,remote access
t1078,gain,persistence access
t1078,bypass,access control
t1078,connect,remote environment
t1079,,
t1080,execute code,remote system
t1081,password,
t1082,get,information based on file directories
t1082,identfy,information based on file directories
t1082,acquire,information based on file directories
t1083,gather information,file
t1083,gather information,directory
t1083,interact,windows api
t1083,gather information,file
t1083,gather information,directory
t1083,interact,windows api
t1084,evade,detection
t1084,subscribe,event
t1084,execute,code
t1084,evade,detection
t1085,avoid trigger,security tool
t1085,proxy execute,code
t1086,perform,action
t1086,perform,information
t1086,perform,code
t1086,perform,executable/command/script
t1086,discovery,action
t1086,discovery,information
t1086,discovery,code
t1086,discovery,executable/command/script
t1086,execute/download/run,action
t1086,execute/download/run,information
t1086,execute/download/run,code
t1086,execute/download/run,executable/command/script
t1087,enumerate,groups
t1087,enumerate,users
t1088,perform,task under administrator level permission without promting user
t1089,avoid detection,security tool
t1090,manage,command and control communications
t1090,reduce,network connections
t1090,provide resiliency,connection loss
t1091,execute,code
t1092,transfer,command
t1093,evade,defenses
t1093,evade,detection analysis
t1093,evade,defenses
t1093,evade,detection analysis
t1094,hide,c2 communication
t1095,hide,c2 communication
t1096,evade,defenses
t1096,evade,static indicator scanning tools
t1096,evade,anti virus
t1097,move laterraly,system
t1098,maintain access,credential
t1098,maintain access,permission level
t1099,mimic,file
t1099,do not appear conspicuous,forensic investigator
t1099,do not appear conspicuous,file analysis tool
t1099,hide,malware
t1099,hide,tool
t1100,use,web server as gateway
t1100,use,redundant access
t1100,use,persistance
t1101,add,ssps
t1102,relay,C2 command
t1102,hide,C2 command
t1103,obtain,persistence
t1103,escalate,privilege
t1104,collect,host information
t1104,update,tool
t1104,upload,file
t1104,redirect,host
t1105,stage,adversary tool
t1105,bring tool,victim network
t1106,execute,binaries
t1107,keep low,adversary footprint
t1108,retain,access
t1108,maintain,access
t1108,gain access,Valid Account technique
t1108,use,External Remote Services technique
t1109,execute,code
t1109,maintain,persistence
t1109,evade,host software based defenses
t1109,evade,integrity check
t1110,crack,hashes
t1110,access,account
t1110,avoid,account lockout
t1110,crack,hashes
t1111,proxy,authentication
t1111,provide,temporary authentication value
t1111,predict,temporary authentication value
t1111,intercept,security mechanism
t1111,bypass,security mechanism
t1111,gain access,system
t1111,gain access,service
t1111,gain access,network resources
t1111,obtain,password
t1112,hide/ remove,configuration information
t1112,hide/ remove,information
t1112,hide/ remove,persistence/execution
t1112,hide/ remove,payload/command
t1112,aid in,configuration information
t1112,aid in,information
t1112,aid in,persistence/execution
t1112,aid in,payload/command
t1112,conceal,configuration information
t1112,conceal,information
t1112,conceal,persistence/execution
t1112,conceal,payload/command
t1113,gather,information
t1113,gather,screenshot
t1113,capture,information
t1113,capture,screenshot
t1114,collect,information
t1114,acquire,information
t1114,interact,exchange server
t1115,grab,clipboard contents
t1116,masquerade,malware
t1116,masquerade,toos as legitimate
t1116,bypass,security policy
t1117,execute,dll
t1117,bypass,process whitelisitng
t1117,proxy execute,code
t1117,avoid trigger,security tool
t1117,establish,persistence
t1118,proxy execution,code
t1118,bypass,process whitelisting
t1119,gather,information
t1120,enhance awareness,system
t1120,enhance awareness,network
t1121,proxy execution,code
t1121,bypass,process whitelisting
t1122,insert,code
t1122,maintain,persistence
t1123,,
t1124,execute file,information
t1124,execute file,locality information
t1124,gather,information
t1124,gather,locality information
t1124,dicover,information
t1124,dicover,locality information
t1125,,
t1126,clean up,trace
t1127,execute,code
t1127,bypass,application whitelisting
t1128,execute,code
t1128,,cobalt strike's payload
t1129,execute,code
t1129,load,dll
t1129,load,module
t1130,avoid,security warnings prompting users
t1130,collect,login credential
t1130,provide,man in the middle capability
t1130,intercept,information transmitted over secure tls
t1130,intercept,ssl communication
t1130,sign,malicious code
t1130,bypass,signature validation tool
t1130,bypass,sysinternals
t1130,bypass,antivirus
t1131,execute,code
t1132,,
t1133,gain,access
t1133,persist,network
t1134,elevate,security context from the administrator level to the SYSTEM level
t1134,authenticate,remote system
t1134,impersonate,logged on user's security context
t1134,create,new process running under the security context of the impersonated user
t1135,access,file
t1135,access,directories
t1135,access,system
t1135,query,remote system
t1135,query,shared drive
t1135,perform,lateral movement
t1135,perform,collection
t1136,maintain,persistence
t1137,execute,dll
t1137,obtain,
t1137,execute,code
t1137,obtain,persistence
t1137,include,macro
t1137,,
t1137,obtain,persistence
t1138,use,Bypass User Account Control
t1138,use,UAC
t1138,use,RedirectEXE
t1138,inject,DLLs into processes
t1138,inject,InjectDLL
t1138,inject,
t1138,disable,Data Execution Prevention
t1138,disable,DisableNX
t1138,disable,Structure Exception Handling
t1138,disable,DisableSEH
t1138,disable,defense
t1138,intercept,memory addresse
t1138,intercept,GetProcAddress
t1138,elevate,privilege
t1138,install,backdoor
t1139,get,potential credential
t1140,decode,file
t1140,deobfuscate,file
t1141,prompt,users
t1141,collect,credential
t1141,collect,credential
t1142,collect,credential
t1143,conceal,malicious activity
t1144,bypass,gatekeeper defense
t1145,authenticate,remote service
t1145,authenticate,ssh
t1145,decrypte,file
t1145,capture,privatekey password
t1146,evade,defense
t1146,prevent,commands appearing in logs
t1147,evade,defense
t1148,hide,trace
t1149,bypass,application whitelisting
t1150,point,code
t1150,execute,code
t1150,bypass,whitelisting procedure
t1151,double click,file
t1152,execute,code
t1152,bypass,whitelisting
t1153,execute,program
t1154,execute,code
t1155,interact,ssh connection
t1155,move,remote machines
t1155,launch,techniques
t1155,present,fake dialog box
t1156,gain,persistence
t1156,execute,binary
t1157,gain,persistence
t1157,escalate,privilege
t1158,hide,file
t1158,hide,folder
t1158,maintain,persistence
t1158,evade,system analysis
t1159,load,plist
t1160,load,plist
t1160,escalate,privilege
t1161,avoid,signature check
t1162,execute,code
t1162,maintain,persistence
t1163,hide,code
t1163,maintain,persistence
t1164,include,link to executable
t1164,provide,link to executable
t1164,specify,application to reopen
t1165,register,persistence mechanism
t1165,escalate,priviledge
t1166,run,code
T1167,find,key
t1168,execute,program
t1168,execute,command
t1168,execute,script
t1168,maitain,Persistence
t1168,perform,Execution
t1168,perform,Lateral Movement
t1168,gain,"root privileges,"
t1168,run,rprocess under the context of a specific account
t1169,execute,command
t1169,spawn,processe
t1170,proxy execution,code
t1170,bypass,application whitelisting solution
t1170,bypass,bypass browser security setting
t1171,obtain,palaintext password
t1171,obtain,palaintext password
t1171,execute,code
t1171,obtain,palaintext password
t1171,poison,name service
t1172,hiding,destination
t1172,disguise,destination
t1173,execute,command
t1173,deliver,command
t1173,avoiding,vba macro execution
t1173,execute,command
t1173,deliver,command
t1173,avoiding,vba macro execution
t1174,harvest,credential
