id,bow
t1056,log user input
t1056,log keystroke
t1056,capture user input
t1056,capture keystroke
t1056,intercept user input
t1056,intercept keystroke
t1056,install keylogger
t1056,use keylogger
t1056,install code portals
t1056,install code vpn login
t1074,stage data
t1074,stage file
t1074,keep data
t1074,keep file
t1074,combine data
t1074,combine file
t1074,copy data
t1074,copy file
t1074,store data
t1074,store file
t1113 ,take screen
t1113 ,take screen capture
t1113 ,take screenshot
t1113 ,capture screen
t1113 ,capture screen capture
t1113 ,capture screenshot
t1114,acquire email data
t1114,acquire email address
t1114,discover email data
t1114,discover email address
t1114,collect email data
t1114,collect email address
t1125,capture video recording
t1125,capture image
t1125,capture video
t1125,capture image file
t1125,capture webcam
t1125,write video recording
t1125,write image
t1125,write video
t1125,write image file
t1125,write webcam
t1125,record video recording
t1125,record image
t1125,record video
t1125,record image file
t1125,record webcam
t1185,inject software browser
t1185,inject code browser
t1185,redirect traffic
t1185,intercept information browser
t1185,modify behavior browser
t1185,change content browser
t1005,search file system
t1025,search removable media
t1025,access removable media
t1025,read removable media
t1025,mount removable media
t1025,collect data removable media
t1039,search network share
t1039,search network share drive
t1039,access network share
t1039,access network share drive
t1039,read network share
t1039,read network share drive
t1039,mount network share
t1039,mount network share drive
t1039,collect data network share
t1039,collect data network share drive
t1115,collect clipboard data
t1115,access clipboard data
t1115,read clipboard data
t1119,collect data
t1119,collect information
t1119,collect file type
t1119,collect location
t1119,collect name
t1119,search data
t1119,search information
t1119,search file type
t1119,search location
t1119,search name
t1119,copy data
t1119,copy information
t1119,copy file type
t1119,copy location
t1119,copy name
t1119,move data
t1119,move information
t1119,move file type
t1119,move location
t1119,move name
t1119,identify data
t1119,identify information
t1119,identify file type
t1119,identify location
t1119,identify name
t1123 ,listen audio recordings
t1123 ,listen audio device
t1123 ,capture audio recordings
t1123 ,capture audio device
t1123 ,read audio recordings
t1123 ,read audio device
t1123 ,open audio recordings
t1123 ,open audio device
t1213,leverage information repositories
t1213,use information repositories
t1001,hide command and control  c2  communications
t1001,add junk data protocol traffic
t1001,commingle legitimate traffic C2 traffic
t1001,use steganography
t1001,use non standard data encoding system
t1008,use fallback
t1008,use communication channels
t1024,encrypt C2 traffic
t1024,encode C2 traffic
t1026,split communication
t1026,split network traffic
t1026,split C2 traffic
t1032 ,encrypt C2 traffic
t1032 ,encrypt c2 communication
t1032 ,encode C2 traffic
t1032 ,encode c2 communication
t1065 ,conduct c2 communication
t1065 ,conduct C2 traffic
t1065 ,communicate c2 communication
t1065 ,communicate C2 traffic
t1065 ,send c2 communication
t1065 ,send C2 traffic
t1071 ,blend command traffic
t1071 ,blend command c2 traffic
t1071 ,embed command traffic
t1071 ,embed command c2 traffic
t1071 ,communicate traffic
t1071 ,communicate c2 traffic
t1071 ,send traffic
t1071 ,send c2 traffic
t1079 ,perform c2 communication
t1079 ,perform c2 traffic
t1079 ,communicate c2 communication
t1079 ,communicate c2 traffic
t1079 ,send c2 communication
t1079 ,send c2 traffic
t1090,perform c2 communication
t1090,perform c2 traffic
t1090,communicate c2 communication
t1090,communicate c2 traffic
t1090,send c2 communication
t1090,send c2 traffic
t1092,perform c2 communication
t1092,perform c2 traffic
t1092,communicate c2 communication
t1092,communicate c2 traffic
t1092,send c2 communication
t1092,send c2 traffic
t1094,communicate c2 communication
t1094,communicate c2 traffic
t1094,send c2 communication
t1094,send c2 traffic
t1094,encapsulate c2 communication
t1094,encapsulate c2 traffic
t1095,perform c2 communication
t1095,perform c2 traffic
t1095,communicate c2 communication
t1095,communicate c2 traffic
t1095,send c2 communication
t1095,send c2 traffic
t1102 ,use web service
t1102 ,use common service
t1104,"obfuscate muli stage channel command and control channel"
t1104,obfuscate command and control server
t1104,obfuscate Remote access tool
t1104,"call back muli stage channel command and control channel"
t1104,call back command and control server
t1104,call back Remote access tool
t1104,"upload muli stage channel command and control channel"
t1104,upload command and control server
t1104,upload Remote access tool
t1105 ,copy file
t1132,encode c2 communication
t1132,encode C2 traffic
t1172,obfuscate destination
t1172,hide destination
t1188,chain proxy
t1188,link proxy
t1219 ,use desktop support
t1219 ,use remote access software
t1483,employ domain generation algorithms  dgas
t1483,employ DGA
t1483,use domain generation algorithms  dgas
t1483,use DGA
t1043 ,communicate c2 communication
t1043 ,communicate C2 traffic
t1043 ,send c2 communication
t1043 ,send C2 traffic
t1111,use keylogger
t1111,intercept password
t1111,obtain password
t1111,bypass security mechanism
t1111,gain access system
t1111,gain access service
t1111,gain access network resource
t1111,connect network resource
t1111,proxy authenticate hardware token
t1111,employ keylogger
t1111,capture token input
