id,what,where
t1001,hide,command and control communications
t1001,hide,c2 communication
t1002,compress,data
t1002,compress,document
t1003,decrypt,group policy preference xml file
t1003,dump,credential
t1003,dump,lsass process memory
t1003,dump,password
t1003,dump,process memory
t1003,enumerate,active directory hash
t1003,enumerate,cached credential
t1003,enumerate,group policy preference xml file
t1003,enumerate,local security authority secret
t1003,enumerate,lsa secret
t1003,enumerate,ntds file
t1003,enumerate,sam
t1003,enumerate,sam database
t1003,enumerate,sam file
t1003,extract,active directory hash
t1003,extract,cached credential
t1003,extract,group policy preference xml file
t1003,extract,local security authority secret
t1003,extract,lsa secret
t1003,extract,ntds file
t1003,extract,sam
t1003,extract,sam database
t1003,extract,sam file
t1003,extract,credential registry key
t1003,extract,password registry key
t1003,gather,active directory hash
t1003,gather,c2 traffic
t1003,gather,group policy preference xml file
t1003,gather,local security authority secret
t1003,gather,lsa secret
t1003,gather,ntds file
t1003,gather,sam
t1003,gather,sam database
t1003,gather,sam file
t1003,retrive,active directory hash
t1003,retrive,cached credential
t1003,retrive,group policy preference xml file
t1003,retrive,local security authority secret
t1003,retrive,lsa secret
t1003,retrive,ntds file
t1003,retrive,sam
t1003,retrive,sam database
t1003,retrive,sam file
t1003,use,credential dumping
t1004,modify,winlogon shell registry key
t1004,modify,winlogon userinit registry key
t1004,modify,winlogon registry key
t1004,modify,winlogon notify registry key
t1005,search,file system
t1006,read,file
t1006,write,file
t1007,enumerate,service
t1007,enumerate,service configuration
t1007,get,service information
t1007,get,service configuration information
t1007,list,service
t1007,list,service configuration
t1007,obtain,service information
t1007,obtain,service configuration information
t1007,query,service
t1007,query,service configuration
t1008,use,alternate communication channel
t1008,use,fallback communication channel
t1009,add,junk data
t1010,get,open application windows list
t1011,exfiltrate,data
t1012,interact,registry key
t1012,interact,registry entry
t1012,query,registry key
t1012,query,registry entry
t1013,use,port monitors
t1014,use,rootkit
t1015,modify,registry key
t1015,configure,cmd.exe
t1015,replace,accessibility program
t1015,replace,atbroker.exe
t1015,replace,displayswitch.exe
t1015,replace,magnify.exe
t1015,replace,narrator.exe
t1015,replace,osk.exe
t1015,replace,sethc.exe
t1015,replace,utilman.exe
t1016,look,network configuration
t1016,look,system setting
t1016,search,network configuration
t1016,search,system setting
t1017,deploy,code
t1017,deploy,software
t1017,execute,code
t1017,execute,software
t1018,get,hostname list
t1018,get,ip address list
t1018,get,logical identifier
t1018,get,system list
t1019,modify,bios
t1019,modify,system firmware
t1019,modify,uefi
t1019,overwrite,bios
t1019,overwrite,system firmware
t1019,overwrite,uefi
t1020,exfiltrate,data
t1020,exfiltrate,document
t1021,login,remote system
t1021,login,service
t1022,encrypt,data
t1023,create,shortcut
t1023,edit,existing shortcut
t1023,edit,target path
t1023,replace,existing shortcut
t1023,replace,target path
t1023,use,shortcut
t1024,encode,c2 traffic
t1024,encrypt,c2 traffic
t1024,encode,command and control traffic
t1024,encrypt,command and control traffic
t1025,access,removable media
t1025,collect,removable media data
t1025,mount,removable media
t1025,read,removable media
t1025,search,removable media
t1026,split,c2 traffic
t1026,split,communication
t1026,split,command and control traffic
t1026,split,network traffic
t1027,archive,code
t1027,archive,command
t1027,archive,executable
t1027,archive,message
t1027,archive,payload
t1027,archive,portion of file
t1027,archive,powershell command
t1027,compress,code
t1027,compress,command
t1027,compress,executable
t1027,compress,message
t1027,compress,payload
t1027,compress,portion of file
t1027,compress,powershell command
t1027,encode,code
t1027,encode,command
t1027,encode,executable
t1027,encode,message
t1027,encode,payload
t1027,encode,portion of file
t1027,encode,powershell command
t1027,encrypt,code
t1027,encrypt,command
t1027,encrypt,executable
t1027,encrypt,message
t1027,encrypt,payload
t1027,encrypt,portion of file
t1027,encrypt,powershell command
t1027,obfuscate,code
t1027,obfuscate,command
t1027,obfuscate,executable
t1027,obfuscate,message
t1027,obfuscate,payload
t1027,obfuscate,portion of file
t1027,obfuscate,powershell command
t1027,split,code
t1027,split,command
t1027,split,executable
t1027,split,message
t1027,split,payload
t1027,split,portion of file
t1027,split,powershell command
t1028,execute,remote binary
t1028,execute,remote executable file
t1028,execute,remote file
t1028,execute,remote program
t1028,modify,remote registry key
t1028,modify,remote registry entry
t1028,modify,remote service
t1028,run,remote binary
t1028,run,remote executable file
t1028,run,remote file
t1028,run,remote program
t1029,exfiltrate,data
t1030,exfiltrate,data
t1031,corrupt,existing service
t1031,kill,existing service
t1031,modifiy,existing service
t1031,register,existing service
t1031,terminate,existing service
t1032,encode,c2 communication
t1032,encode,command and control communication
t1032,encode,c2 traffic
t1032,encode,command and control traffic
t1032,encrypt,c2 communication
t1032,encrypt,command and control communication
t1032,encrypt,c2 traffic
t1032,encrypt,command and control traffic
t1033,identify,primary user
t1033,identify,set of users
t1033,identify,user
t1034,use,path environment variable misconfiguration
t1034,use,search order hijecking
t1034,use,service path weakness
t1034,use,shortcut path weakness
t1034,use,unqoted path weaknesses
t1035,execute,binary
t1035,execute,command
t1035,execute,script
t1036,change,file metadata
t1036,change,file data
t1036,change,executable location
t1036,change,executable name
t1036,change,process name
t1036,manipulate,executable location
t1036,manipulate,executable name
t1036,modify,file metadata
t1036,modify,executable location
t1036,modify,file data
t1036,modify,executable name
t1036,modify,process name
t1037,insert,logon script code
t1038,modify,dll loading procedure
t1038,use,binary planting attack
t1038,use,dll preload
t1038,use,dll search order hijacking
t1039,access,network share
t1039,access,network share drive
t1039,collect,network share data
t1039,collect,network share drive data
t1039,mount,network share
t1039,mount,network share drive
t1039,read,network share
t1039,read,network share drive
t1039,search,network share
t1039,search,network share drive
t1040,place,network interface
t1040,sniff,network interface
t1041,encode,data
t1041,exfiltrate,data
