id,what,where
t1001,make difficult,disvover command
t1001,hide,command
t1001,make communication,less conspicuous
t1002,minimize,data length
t1003,harvest,hash
t1003,obtain,account credential
t1003,harvest,account credential
t1003,obtain,password
t1003,harvest,password
t1003,obtain,hash
t1004,execute,executable
t1004,execute,dll
t1004,load,executable
t1004,load,dll
t1005,gather,information
t1005,find,files
t1005,collect,information
t1006,bypass,access control
t1007,discover,running service
t1008,maintain,command and control
t1008,avoid,data transfer threshold
t1009,avoid,hash based blacklist
t1009,avoid,static anti virus signature
t1009,increase,size
t1009,change,file hash
t1010,give information context,keylogger
t1011,exfiltrate,data
t1012,gather,system information
t1012,gather,system configuration information
t1012,gather,installed software infromation
t1013,load,code
t1013,load,dll
t1014,hide,network connection
t1014,hide,service
t1014,hide,files
t1014,hide,driver
t1014,hide,program
t1015,use,backdoor
t1015,get,backdoor
t1015,execute,replaced file
t1015,get,command prompt
t1015,use,command prompt
t1016,gather,remote system information
t1016,discover,remote system information
t1017,wipe,hard drive
t1017,gather,information
t1017,move laterally,system
t1018,gain insight,systems
t1018,gain insight,hostname ip address mapping
t1018,discover,hostname ip address mapping
t1018,gather,information remote system
t1018,get listing,systems
t1018,acquire,information remote system
t1018,get listing,hostname ip address mapping
t1018,discover,systems
t1019,perform,malicious activity
t1019,maintain,persistence
t1019,assist,malicious activity
t1019,install,firmware update
t1021,move laterally,system
t1022,transfer,information
t1022,hide,information
t1023,execute,tool
t1023,look,legitimate program
t1024,hide,command and control traffic
t1025,find,files of interest
t1026,bypass,data threshold alerts
t1026,avoid,data threshold alerts
t1026,avoid,firewall restriction
t1026,bypass,firewall restriction
t1027,make diffficult,discovery
t1027,evade,signature based detection
t1027,hide,command
t1027,make diffficult,analysis
t1027,evade,defense
t1027,evade,whitelisting mechanism
t1028,interact,remote system
t1028,move laterally,sytem
t1028,remote execute,code
t1029,blend traffic pattern,normal activity
t1030,avoid,network data tranfer alert
t1031,make difficult,detection analysis
t1031,execute,program
t1031,execute,command
t1032,conceal,command and control traffic
t1033,querying,information
t1033,retrieve,account username
t1034,maintain,persistence
t1034,escalate,privilege
t1035,execute,dll
t1035,execute,binary
t1035,execute,payload
t1036,evade,defenses
t1036,deceive,system administrator
t1036,blend,environment
t1036,deceive,defender
t1037,execute,program
t1037,move laterally,system
t1037,execute,tool
t1038,maintain,persistence
t1038,load,malicious dll
t1038,escalate,privilege
t1039,find,file
t1039,collect,sensitive data
t1040,access,data
t1040,capture,data
t1040,capture,credential
t1040,access,traffic packet
t1040,access,credential
t1040,capture,traffic packet
t1041,exfiltrate,data
t1042,execute,command
t1044,execute,untrusted code
t1044,gain,persistence
t1044,escalate,privilege
t1045,evade,defense
t1045,avoid,signature based detection
t1046,acquire,information
t1047,execute,file
t1047,interact,system
t1047,interact,local system
t1047,perform,lateral movement
t1047,gather,information
t1047,interact,remote system
t1049,get list,network connection
t1050,execute,service
t1050,escalate,privilege
t1050,maintain,persistence
t1051,execute,tool
t1051,execute,content
t1051,execute,rat
t1051,upload,remote access tool
t1051,execute,program
t1051,execute,code
t1051,upload,rat
t1052,exfiltrate,data
t1053,execute,program at system startup
t1053,gain,system privilege
t1053,conduct remote execution,lateral movement
t1053,run,process under the context of a specified account
t1054,prevent,central analysis
t1054,block,event
t1054,block,indicator
t1055,redirect process,malicious code
t1055,intercept,api call
t1055,evade,detection
t1055,redirect process,network resource
t1055,allow access,system resource
t1055,redirect process,system resource
t1055,redirect process,process memory
t1055,"allow access , evade",detection
t1055,redirect process,detection
t1055,allow access,network resource
t1055,allow,access malicious code
t1055,evade,access malicious code
t1055,evade,process memory
t1055,evade,system resource
t1055,evade,network resource
t1055,allow,access process memory
t1056,transmit,user credential
t1056,obtain,credential
t1056,transmit,credential
t1056,capture,user credential
t1056,acquire,credential
t1056,capture,credential
t1056,inspect,user input field
t1056,maintain,network access
t1057,get,information
t1057,gain,understanding of common software running on systems
t1058,gain,persistence
t1058,point,executable
t1059,interact,system
t1059,execute,code
t1059,execute,command
t1059,execute,software
t1060,execute,malwarel
t1060,execute,remote access tool
t1060,maintain,persistence
t1061,search,file
t1061,execute,information
t1061,search,information
t1061,execute,file
t1062,persist,system
t1062,hide,existence
t1063,obtain,security software information
t1064,download,payload
t1064,launch,payload
t1064,aid,operation
t1064,execute,file
t1064,bypass,process monitoring mechanism
t1064,perform,action
t1064,execute,payload
t1064,launch,file
t1064,download,file
t1065,bypass,proxy
t1065,bypass,firewall
t1066,remove,indicator
t1067,divert,execution
t1067,persist,system
t1068,execute,adversary controlled code
t1068,escalate,privilege
t1069,enumerate,permission group
t1069,enumerate,permission
t1070,make difficult,forensic analysis and incident response
t1070,cause unreported,event
t1071,avoid,detection
t1072,move laterally,remote system
t1072,wipe,hard drive
t1072,remote execute,code
t1073,mask,action
t1073,load,dll
t1074,exfiltrate,data
t1074,exfiltrate,file
t1075,bypass,authentication step
t1075,authenticate,user
t1076,move laterally,system
t1077,move laterally,system
t1078,gain,access
t1078,bypass,access control
t1078,gain,persistence access
t1078,gain,remote access
t1078,connect,remote environment
t1079,,
t1080,execute code,remote system
t1081,password,
t1082,acquire,information file directories
t1082,identfy,information based on file directories
t1082,get,information based on file directories
t1083,gather information,directory
t1083,interact,windows api
t1083,gather,file information
t1084,execute,code
t1084,subscribe,event
t1084,evade,detection
t1085,proxy execute,code
t1085,avoid trigger,security tool
t1086,execute, command
t1086,download, command
t1086,run, command
t1086,execute, script
t1086,download, script
t1086,run, script
t1086,execute,action
t1086,download,action
t1086,run,action
t1086,discovery,action
t1086,discovery,executable/command/script
t1086,execute/download/run,code
t1086,perform,action
t1086,perform,code
t1086,execute/download/run,information
t1086,discovery,information
t1086,perform,information
t1086,execute,command
t1086,execute,command
t1086,perform,script
t1086,discovery,code
t1087,enumerate,users
t1087,enumerate,groups
t1088,perform,task under administrator level permission without promting user
t1089,avoid detection,security tool
t1090,manage,command and control communications
t1090,provide resiliency,connection loss
t1090,reduce,network connections
t1091,execute,code
t1092,transfer,command
t1093,evade,detection analysis
t1093,evade,defenses
t1094,hide,c2 communication
t1095,hide,c2 communication
t1096,evade,anti virus
t1096,evade,defenses
t1096,evade,static indicator scanning tools
t1097,move laterraly,system
t1098,maintain access,permission level
t1098,maintain access,credential
t1099,do not appear conspicuous,file analysis tool
t1099,hide,tool
t1099,mimic,file
t1099,do not appear conspicuous,forensic investigator
t1099,hide,malware
t1100,use,redundant access
t1100,use,persistance
t1100,use,web server as gateway
t1101,add,ssps
t1102,hide,c2 command
t1102,relay,c2 command
t1102,relay,command and control command
t1103,escalate,privilege
t1103,obtain,persistence
t1104,redirect,host
t1104,collect,host information
t1104,update,tool
t1104,upload,file
t1105,stage,adversary tool
t1105,bring tool,victim network
t1106,execute,binaries
t1107,keep low,adversary footprint
t1108,gain access,valid account technique
t1108,maintain,access
t1108,retain,access
t1108,use,external remote services technique
t1109,maintain,persistence
t1109,evade,integrity check
t1109,execute,code
t1109,evade,host software based defenses
t1110,crack,hashes
t1110,avoid,account lockout
t1110,access,account
t1111,provide,temporary authentication value
t1111,predict,temporary authentication value
t1111,gain access,system
t1111,intercept,security mechanism
t1111,obtain,password
t1111,bypass,security mechanism
t1111,gain access,service
t1111,proxy,authentication
t1111,gain access,network resources
t1112,hide/ remove,payload/command
t1112,aid in,payload/command
t1112,conceal,configuration information
t1112,conceal,information
t1112,hide/ remove,information
t1112,aid in,information
t1112,conceal,payload/command
t1112,aid in,configuration information
t1112,conceal,persistence/execution
t1112,hide/ remove,persistence/execution
t1112,hide/ remove,configuration information
t1112,aid in,persistence/execution
t1113,capture,information
t1113,gather,information
t1113,gather,screenshot
t1113,capture,screenshot
t1114,collect,information
t1114,interact,exchange server
t1114,acquire,information
t1115,grab,clipboard contents
t1116,bypass,security policy
t1116,masquerade,toos as legitimate
t1116,masquerade,malware
t1117,avoid trigger,security tool
t1117,bypass,process whitelisitng
t1117,establish,persistence
t1117,execute,dll
t1117,proxy execute,code
t1118,bypass,process whitelisting
t1118,proxy execution,code
t1119,gather,information
t1120,enhance awareness,network
t1120,enhance awareness,system
t1121,bypass,process whitelisting
t1121,proxy execution,code
t1122,maintain,persistence
t1122,insert,code
t1124,execute file,locality information
t1124,gather,information
t1124,gather,locality information
t1124,execute file,information
t1124,dicover,locality information
t1124,dicover,information
t1126,clean up,trace
t1127,execute,code
t1127,bypass,application whitelisting
t1128,,cobalt strike's payload
t1128,execute,code
t1129,load,dll
t1129,execute,code
t1129,load,module
t1130,bypass,sysinternals
t1130,bypass,signature validation tool
t1130,collect,login credential
t1130,provide,man in the middle capability
t1130,bypass,antivirus
